experiment

dia 7

espesor 100 //um

rata 1

area de lesion 1615594.667 //um2

celulas
x(um)	y(um)	Tipo	Pb
2913.111	2123.778	2	1
2520.333	2032.556	2	1
2659.889	2064.333	2	1
3066.778	2300	2	1
3032.333	2266	2	1
3054.111	2552.778	2	1
3229.444	2703.444	2	1
3363.667	2701.222	2	1
3523.333	2577.333	2	1
3415.667	2758.667	2	1
3397.889	2768.889	2	1
3527.222	2831.889	2	1
3563.222	2960.778	2	1
3625.556	2960.111	2	1
3572.222	3005	2	1
3429.889	3073.111	2	1
3457.444	3011.778	2	1
3851.222	3131.444	2	1
4181.778	3368.555	2	1
3992.778	3383.222	2	1
4163	3603.333	2	1
4115.445	3593.555	2	1
4182.111	3589.555	2	1
4308.889	3545.555	2	1
4183.555	3540.667	2	1
4252	3387.555	2	1
4275.555	3306.222	2	1
4404.222	3317.555	2	1
4493.555	3231.778	2	1
4455.778	3197.111	2	1
4408.222	3216.222	2	1
4346.667	3107.778	2	1
4504.889	3102.445	2	1
4584.445	3138	2	1
4751.222	3087.333	2	1
4797.445	3078.445	2	1
4605.333	2882.445	2	1
4657.333	2849.555	2	1
4134.778	2841.222	2	1
4276.667	2793.889	2	1
4390.555	2591.111	2	1
4297.667	2712	2	1
4223.445	2723.111	2	1
4269.667	2679.111	2	1
4120.667	2493.889	2	1
4126	2525.889	2	1
4242	2477.444	2	1
4000.222	2515.667	2	1
4023.778	2550.778	2	1
3961.555	2744.667	2	1
3845.556	2748.667	2	1
3811.778	2732.222	2	1
3819.333	2747.778	2	1
3696.778	2552.111	2	1
3774.111	2644.556	2	1
3766.111	2617	2	1
3696.778	2615.667	2	1
3644.778	2589.444	2	1
3428.111	2883.222	2	1
3602.333	2873.889	2	1
3642.333	2857.889	2	1
3722.667	3337.222	2	1
3705.333	3287	2	1
3644.222	3574.333	2	1
3686.444	3567.667	2	1
3820.444	3432.222	2	1
3950.222	3367.333	2	1
4019.555	3307.778	2	1
3897	2952.889	2	1
3476.667	2897.445	2	1
3299.556	2980.778	2	1
3451.556	2947.222	2	1
3435.556	2921.889	2	1
3611.556	2740.667	2	1
3641.778	2706.889	2	1
4012.333	2302.111	2	1
4286.555	2359.444	2	1
4086.111	2239.444	2	1
4165.222	2122.889	2	1
3955	2071.778	2	1
4077.333	1965.333	2	1
4107.111	1937.778	2	1
4201.555	2219.667	2	1
4462.333	2685.889	2	1
4447.333	3014.889	2	1
4497.555	3002.445	2	1
4576.778	3013.111	2	1
4284	3199.111	2	1
3650.444	3063.555	2	1
4027.889	3160.889	2	1
4117.889	3354.333	2	1
3757	2928.111	2	1
3597.667	2964.333	2	1
3314.667	2870.333	2	1
3397	2826.667	2	1
3342.333	2576	2	1
3277	2533	2	1
3219.667	2586.667	2	1
3094.333	2660	2	1
3073.556	2614	2	1
3192.444	2618.444	2	1
3014.778	2580.556	2	1
3020.556	2611.222	2	1
3137.333	2487.222	2	1
3151.111	2483	2	1
3111.333	2470.778	2	1
3099.333	2462.556	2	1
3251.667	2352.889	2	1
3242.556	2316.222	2	1
3229.889	2224.889	2	1
3275.333	2141.444	2	1
3341.333	2145.333	2	1
3402.333	2133.667	2	1
3629.556	2349.222	2	1
3410.778	2456.111	2	1
3349.444	2255.556	2	1
3422.444	2269.111	2	1
3446.889	2233.333	2	1
3264.778	1927.333	2	1
2795.556	1633	2	1
2798	1547.667	2	1
2813.778	1499.444	2	1
3201.556	1390.889	2	1
3259.556	1393.778	2	1
3269.667	1468.556	2	1
2901.333	1342.222	2	1
2939.333	1364.222	2	1
2970.333	1712	2	1
3128.667	1647.333	2	1
3128.667	1678.333	2	1
3097.333	1578.333	2	1
2706	2102.667	2	1
3473.333	2318.333	2	1
3968.667	1994	2	1
4013	2002.667	2	1
4399.667	2536.667	2	1
4232	2990	2	1
4255.667	3009	2	1
4132.333	3078	2	1
4440	2967.667	2	1
4708.333	2911.333	2	1
4365.667	2758.667	2	1
4325.333	2770.333	2	1
4233.667	2842.333	2	1
3931.333	3323	2	1
3488.333	3191	2	1
3654.667	3231.333	2	1
3534.333	3417	2	1
3465.667	3360.333	2	1
3605	3390.667	2	1
3756	2988	2	1
3659.333	2638.667	2	0.5
3627.333	2531.667	2	0.5
3440.333	2635.667	2	0.5
3939	3002.333	2	0.5
4015.667	3012.333	2	0.5
4013	2953.667	2	0.5
4134.333	2871.333	2	0.5
4256.667	2883	2	0.5
4118	2744.667	2	0.5
4275	2712.667	2	0.5
4126.333	2633.333	2	0.3
4169.333	2562.667	2	0.3
4052.333	2593	2	0.5
3924	2541	2	0.5
4006	2473	2	0.5
4092.333	2221.667	2	0.5
3834.667	1970	2	0.5
3983.333	1891.667	2	0.5
3836.667	2021.667	2	0.7
3591.333	2172.667	2	0.3
3265	2397.333	2	0.3
3353.667	2502	2	0.7
3310.667	2742.667	2	0.7
3497	2648.333	2	0.7
3549.333	2468.667	2	0.5
3297.667	2427.333	2	0.5
3345	2301	2	0.5
3275.667	2064.333	2	0.3
3305.333	2038	2	0.3
3332.667	1999.667	2	0.3
3529.333	1929.667	2	0.3
3290.667	1605.333	2	0.5
3443.667	1627.667	2	0.5
3491.333	1641	2	0.5
3558	1568.667	2	0.7
3546	1730	2	0.5
3850.667	2801	2	0.7
3798.333	2560.667	2	0.5
4038	2678.333	2	0.7
4177	2630.667	2	0.7
4071.333	2811	2	0.7
4374	3085	2	0.7
4373.667	2963.667	2	0.7
4388.333	2920.333	2	0.3
4256.333	2959	2	0.7
4348.667	2916	2	0.3
4465	2833.333	2	0.3
4374.667	2893.333	2	0.7
4417	2906.667	2	0.3
4575.667	2930	2	0.3
4259.333	3059	2	0.3
4139	2821	2	0.7
4205.333	2789.333	2	0.5
4366.667	2713.667	2	0.5
4398	2679	2	0.5
4096.333	2716.667	2	0.5
3647.667	2814.667	2	0.5
3740	2711	2	0.5
3820	2794	2	0.5
3840.333	2577.333	2	0.5
3465.333	2726	2	0.5
3464	2503.667	2	0.5
3436	2090.667	2	0.5
3417	1877	2	0.5
3580.667	1645.667	2	0.5
3201.667	1449.667	2	0.7
2985.667	1622.333	2	0.7
2939.667	1668.667	2	0.3
2985	2090.667	2	0.5
2886	2165.333	2	0.5
2948.667	2179	2	0.5
2931.333	2149.333	2	0.5
3117.333	2175	2	0.5
3375	1932	2	0.5
3602.667	1806.333	2	0.3
3496.667	1741.333	2	0.5
3692	1692.667	2	0.5
4501.778	2787.555	2	0.5
4184.778	2920.222	2	0.7
4298.889	2987.667	2	0.7
4103.333	2319.667	2	0.5
4060.667	2293.667	2	0.3
4028	2258	2	0.5
3974.333	2204	2	0.5
3929.333	2159	2	0.5
3883.333	1993.333	2	0.3
3917.333	2052.667	2	0.3
3978.333	2036.667	2	0.7
4014.667	2029.667	2	0.5
4015.333	2041.333	2	0.5
4044	2051.333	2	0.5
4025	2122.667	2	0.5
3988	2125	2	0.5
4040.667	2119	2	0.5
3766.667	1996.667	2	0.3
3673.333	2166.556	2	0.5
3853.333	2384.778	2	0.3
3879.667	2330.333	2	0.3
3951.333	2261.111	2	0.7
3955.778	2271.778	2	0.7
3912	2236.222	2	0.5
4049.889	2232	2	0.5
4145.889	2329.778	2	0.5
4145.667	2342.889	2	0.5
4173	2372.667	2	0.5
4275.555	2558.222	2	0.3
4256.445	2547.556	2	0.3
3301.556	2093.889	2	0.3
3551.778	2135.889	2	0.7
3631.333	2142.333	2	0.7
3649.667	2078.111	2	0.3
3229.667	1796.444	2	0.5
3327	1803.111	2	0.5
3424.333	1699.222	2	0.5
3149.667	1736.556	2	0.5
3191.667	1811.111	2	0.3
3202.778	1856.556	2	0.3
2991.222	1653.222	2	0.5
3174.778	1587	2	0.7
3211.222	1606.111	2	0.5
3374.444	1559	2	0.5
3402.111	1645	2	0.5
3377.222	1672.333	2	0.5
3319.667	1683.667	2	0.5
3189.556	1712.444	2	0.5
3227.111	1675.556	2	0.5
3149.889	1795.444	2	0.5
3154.556	1781	2	0.5
3179	1784.333	2	0.3
3397.778	1856	2	0.7
3475.556	1814.889	2	0.5
3288.889	1568.333	2	0.5
3350.444	1862.444	2	0.3
3514.778	2056.889	2	0.3
3663.222	2211.889	2	0.3
3457.556	2406.111	2	0.3
3523.333	2241.556	2	0.7
3498.667	2240.889	2	0.7
3885.889	2153.556	2	0.5
3828.111	2075.556	2	0.3
3893.667	2102.222	2	0.3
3793	2033.556	2	0.5
3692.444	1759.889	2	0.7
3166.333	1657.111	2	0.5
3596.444	2256.111	2	0.3
3703.778	2268.556	2	0.5
3844.444	2351.556	2	0.5
4349.556	2384.889	3	1
4370.889	2401.778	3	1
4201.556	2404.667	3	1
4338.333	2633	3	1
4288.778	2626.111	3	1
4509.667	2705.667	3	1
4047.667	2932.667	3	1
3981.667	2915	3	1
3839.333	2991.333	3	1
4077	3128	3	1
4076.667	3166	3	1
3798.333	3177.333	3	1
3928.667	3150	3	1
4337	3251	3	1
4779	2976.333	3	1
4468	2737	3	1
3677.333	2912.333	3	1
3482	3124.667	3	1
3278.333	2815.333	3	1
4190	3723.667	3	1
3973.222	3724.222	3	1
4034.667	3374.778	3	1
4143.889	3243.444	3	1
4232.556	3101	3	1
4646.333	2935.333	3	1
3788.222	1976.667	3	1
2746.889	1863.333	3	1
