experiment

dia 3

espesor 100 //um

rata 1

area de lesion 1636400 //um2

celulas
x(um)	y(um)	Tipo	Pb
1796	1312.667	3	0.5
1834	1044	3	0.5
1764.667	1064.667	3	0.5
1616.667	1225.333	3	0.5
1640.667	1209.333	3	0.7
1677.333	1420.667	3	0.7
1679.333	1445.333	3	0.3
1768.667	1498.667	3	0.3
1860	1589.333	3	0.5
2003.333	1606.667	3	0.3
2021.333	1678.667	3	0.7
1973.333	1630	3	0.7
1973.333	1560.667	3	0.7
2114.667	1558	3	0.5
2086.667	1546	3	0.5
2022.667	1496	3	0.5
1938	1508.667	3	0.5
1286	1716	3	0.5
1681.333	1961.333	3	0.5
1648.667	1921.333	3	0.5
1677.333	1944.667	3	0.5
1493.333	2018	3	0.5
1490	2019.333	3	0.5
1307.333	1873.333	3	0.5
1830	1913.333	3	0.5
1714.667	1856.667	3	0.7
2052	2043.333	3	0.7
2120	1950	3	0.7
2177.333	2098	3	0.7
2216.667	2094	3	0.3
2013.333	2024	3	0.5
2056.667	1981.333	3	0.3
2232	1971.333	3	0.3
2195.333	1952	3	0.3
2287.333	1989.333	3	0.5
2338.667	2029.333	3	0.7
2306	2126	3	0.7
2274.667	2148	3	0.5
2328	2340.667	3	0.5
2308	2321.333	3	0.3
2442	2262.667	3	0.7
2536	2288	3	0.7
2508.667	2248	3	0.5
2579.333	2224.667	3	0.5
2492.667	2140.667	3	0.5
2456	1963.333	3	0.7
2266.667	1822	3	0.7
2345.333	1794	3	0.7
2481.333	1798	3	0.5
2267.333	1712	3	0.5
2328.667	1714.667	3	0.7
2400	1648	3	0.7
2205.333	1558	3	0.7
2229.333	1638	3	0.5
2368	1148	3	0.5
2514.667	1207.333	3	0.3
2142.667	1220	3	0.3
1748	1465.333	3	0.5
1769.333	1351.333	3	0.7
2124	1518.667	3	0.7
1891.333	1754	3	0.5
1773.333	1729.333	3	0.5
1753.333	1900.667	3	0.3
2116.667	2039.333	3	0.7
2378	1886.667	3	0.7
2368.667	2128	3	0.5
2345.333	2077.333	3	0.5
2361.333	2058	3	0.5
2603.333	1767.333	3	0.7
2692	1766.667	3	0.5
2696	2007.333	3	0.7
2796.667	2012.667	3	0.7
3096	1595.333	3	0.7
3147.333	1567.333	3	0.5
3100.667	1501.333	3	0.5
3031.333	1479.333	3	0.3
2945.333	1398.667	3	0.3
2814.667	1403.333	3	0.5
2824.667	1507.333	3	0.7
3274.667	1615.333	3	0.7
3221.333	1623.333	3	0.5
3236	1659.333	3	0.5
3200	1540.667	3	0.3
3330	1598.667	3	0.3
3514.667	1757.333	3	0.3
3471.333	1827.333	3	0.3
3403.333	1862.667	3	0.3
3363.333	1970.667	3	0.3
3384.667	1938	3	0.3
3276.667	1802.667	3	0.7
3226	1779.333	3	0.7
2756	1228.667	3	0.7
2687.333	1255.333	3	0.5
2122	1189.333	3	0.7
1943.333	1168	3	0.5
1934.667	1096.667	3	0.7
2554.667	1108	3	0.7
1890	1257.333	3	0.7
1949.333	1236.667	3	0.7
2032	1428.667	3	0.7
1782.667	1549.333	3	0.3
1770	1608.667	3	0.3
2135.333	1602	3	0.5
2000	1804	3	0.3
1964.667	1793.333	3	0.3
2373.333	1806.667	3	0.3
2395.333	1753.333	3	0.3
2392.667	2219.333	3	0.3
2306.667	1909.333	3	0.3
2649.333	2360	3	0.3
2679.333	2568.667	3	0.5
2664.667	2582	3	0.5
2604	2494	3	0.5
2515.333	2482.667	3	0.5
2744.667	2580.667	3	0.5
2718.667	2656	3	0.5
2346	1344.667	2	1
2332	1302	2	1
2328.667	1184.667	2	1
2231.333	1086.667	2	1
2208.667	1105.333	2	1
2671.333	1206	2	1
2620	1188	2	1
2624.667	1490.333	2	1
2759.333	1854.667	2	1
2695.333	1834	2	1
2588.667	1793.333	2	1
2554.667	1780	2	1
2758.667	1952.667	2	1
2698.667	1958	2	1
2671.333	1941.333	2	1
2637.333	1908.667	2	1
2628.667	1886.667	2	1
2690	1876	2	1
2698	1897.333	2	1
2594.667	2140.667	2	1
2519.333	2063.333	2	1
2504.667	2054	2	1
2517.333	2027.333	2	1
2537.333	2012.667	2	1
2628.667	2018	2	1
2842	2316.667	2	1
2748	2336	2	1
2740	2293.333	2	1
2578.667	2313.333	2	1
2618	2332	2	1
2598.667	2545.333	2	1
2370.667	2323.333	2	1
2392	2316	2	1
2318	2230.667	2	1
2298	2217.333	2	1
2172.667	2144	2	1
2413.333	2064	2	1
2476.667	1906.667	2	1
2242.667	1726.667	2	1
2493.333	1716.667	2	1
2483.333	1716	2	1
2524.667	1661.333	2	1
2442	1754.667	2	1
2548	1740	2	1
2544	1589.333	2	1
2403.333	1536	2	1
2295.333	1531.333	2	1
2321.333	1468.667	2	1
2346	1446	2	1
2222	1500	2	1
2182.667	1395.333	2	1
2111.333	1493.333	2	1
2201.333	1462	2	1
2182.667	1475.333	2	1
1800.667	1414	2	1
2619.333	1384.667	2	1
2484.667	1342	2	1
2488.667	1312	2	1
2748.667	1336	2	1
2770.667	1299.333	2	1
2724	1243.333	2	1
2635.333	1343.333	2	1
2666.667	1380	2	1
3042	1594	2	1
3025.333	1583.333	2	1
3001.333	1621.333	2	1
2809.333	1596.667	2	1
2765.333	1570.667	2	1
3145.333	1840.667	2	1
3134	1809.333	2	1
3434	1810	2	1
3420.667	1820	2	1
3408	1794.667	2	1
3376	1737.333	2	1
3421.333	1730.667	2	1
3412	1718	2	1
3403.333	1681.333	2	1
3392	1672	2	1
3421.333	1654.667	2	1
3439.333	1674	2	1
3502.667	1836.667	2	1
3481.333	1867.333	2	1
3344	1926.667	2	1
3312	1998.667	2	1
3238	1970.667	2	1
2921.333	2188.667	2	1
3013.333	2164.667	2	1
3128	2176	2	1
2872.667	2182	2	1
2776.667	2242.667	2	1
2805.333	2215.333	2	1
2826.667	2186.667	2	1
2732	2206.667	2	1
2698.667	2223.333	2	1
2834	2388	2	1
2710	2148	2	1
2546.667	2164	2	1
2744.667	2110.667	2	1
2812	2126.667	2	1
2838.667	2123.333	2	1
2828.667	1980.667	2	1
2818.667	1884.667	2	1
3144.667	1966	2	1
3152.667	1942	2	1
2692.667	1688.667	2	1
2657.333	1751.333	2	1
3340.667	1746	2	1
3312	1714.667	2	1
3174	1624.667	2	1
3174	1644.667	2	1
2281.333	1150	2	1
2846.667	2074.667	2	1
2472	2189.333	2	0.7
2410.667	2166.667	2	0.5
2974	2216.667	2	0.5
3065.333	2221.333	2	0.5
2860	2022	2	0.5
2549.333	1970	2	0.5
2566	1937.333	2	0.7
2638	1618.667	2	0.3
2678	1534.667	2	0.7
2732.667	1427.333	2	0.5
2552.667	1256	2	0.7
2280.667	1484.667	2	0.3
2002.667	1563.333	2	0.3
2035.333	1574.667	2	0.3
2299.333	1780.667	2	0.3
2323.333	1800	2	0.5
2121.333	1836.667	2	0.7
2060.667	1890	2	0.3
2276	2176	2	0.7
2251.333	2188	2	0.5
2637.333	2426.667	2	0.5
2592.667	2409.333	2	0.5
2572.667	2406	2	0.5
2483.333	2216.667	2	0.5
2472.667	2245.333	2	0.7
2722	2258	2	0.3
2821.333	2369.333	2	0.7
2862.667	2364.667	2	0.5
2952.667	2348.667	2	0.7
2948.667	2307.333	2	0.3
2896	2271.333	2	0.3
2951.333	2168.667	2	0.3
3135.333	1886.667	2	0.3
3188	1886	2	0.5
3278	1880.667	2	0.7
2936.667	1562.667	2	0.3
2854	1488.667	2	0.7
3042.667	1553.333	2	0.5
2915.333	1462.667	2	0.5
3066.667	1466.667	2	0.7
3430.667	1884.667	2	0.5
3243.333	1684.667	2	0.5
2710.667	1326.667	2	0.5
2762	1364	2	0.7
2862.667	1354	2	0.7
2569.333	1290	2	0.3
2286.667	1634.667	2	0.7
2386.667	1672	2	0.7
2185.333	1749.333	2	0.3
2222	1744	2	0.5
2189.333	1526.667	2	0.5
2322.667	1279.333	2	0.5
2346	1268.667	2	0.5
2332.667	1252	2	0.5
2307.333	1244.667	2	0.5
2027.333	1896	2	0.5
1952	1888	2	0.4
1928	1874.667	2	0.5
2347.333	2266.667	2	0.7
2288.667	2284	2	0.7
2272	2312	2	0.7
2832	2474.667	2	0.7
3004	2374.667	2	0.3
3034.667	2280	2	0.3
3022.667	2301.333	2	0.3
2939.333	2146.667	2	0.3
2964	2135.333	2	0.3
2754	1504.667	2	0.5
2736.667	1488.667	2	0.5
2790.667	1452.667	2	0.3
3079.333	1618	2	0.3
3074	1664.667	2	0.5
2518.667	1254	2	0.5
2395.333	1219.333	2	0.5
2246	1171.333	1	1
2310.667	1180	1	1
2522	1147.333	1	1
2243.333	1263.333	1	1
2178.667	1234	1	1
2574.667	1358.667	1	1
2600	1312	1	1
2563.333	1325.333	1	1
2530	1299.333	1	1
2547.333	1447.333	1	1
2590.667	1491.333	1	1
2574.667	1537.333	1	1
2562	1621.333	1	1
2640.667	1697.333	1	1
2508.667	1840.667	1	1
2349.333	1848.667	1	1
2324.667	1854	1	1
2291.333	1858.667	1	1
2274	1958.667	1	1
2220	1860.667	1	1
2102	1886	1	1
2636.667	1997.333	1	1
2593.333	1975.333	1	1
2742	1982	1	1
2890	2120.667	1	1
2810	2159.333	1	1
2630.667	2279.333	1	1
2533.333	2223.333	1	1
2553.333	2266	1	1
3032.667	2084	1	1
2920	2026.667	1	1
3169.333	2062.667	1	1
3132.667	2051.333	1	1
3074.667	2016	1	1
3076	1955.333	1	1
2942	1990	1	1
3262	2074	1	1
3266.667	2035.333	1	1
3267.333	1978.667	1	1
3162	1998	1	1
3216	2176.667	1	1
3161.333	2236.667	1	1
3262.667	1904.667	1	1
2870	1899.333	1	1
