foto 3
pin 1
X (um)	Y (um)
619.33	613.33

pin 2
X (um)	Y (um)
759.33	110.67

celulas
X (um)	Y (um)	TIPO	PB
837.111	462.333	3	0.5
839.778	600.333	3	0.5
673.222	245.556	3	1
732.778	355	3	1
741.667	490.333	3	1
790	574.556	3	1
782.222	560.111	3	1
706.667	541	3	1
813.111	618.111	3	1

limite foto
X(um)	Y(um)
246	87.333
488.111	638.556
853	639.667
852.889	77.889

limite tejido 

limite lesion

vaso
X (um)	Y (um)
446.111	538.111
451.222	539.444
458.333	541.889
471	546.778
482.333	548.111
494.556	551.444
503	552.778
513	554.556
519.889	554.556
528.111	556.778
536.333	559.222
542.556	561.889
549.667	568.111
554.333	573.667
560.556	581.222
566.556	590.111
569.222	598.778
571.889	606.111
573.667	613.889
579.444	626.556
581	631.444
583	637.222
580.778	639
575.444	638.778
573.444	635
571	628.333
567.222	615.444
563.667	607.667
559.889	594.778
554.333	583.667
548.778	574.556
542.333	569.444
534.333	565.889
522.333	563.667
506.111	564.111
491.222	561.444
476.778	560.111
468.333	556.333
454.556	553.889
450.333	553.222
447	546.111

vaso
X (um)	Y (um)	
790.667	429
792.222	434.556
798.222	440.556
803.333	441
810.222	439.222
811.778	431.667
806.667	421.444
800	417.889
794.222	420.778
791.778	426.111

vaso
X (um)	Y (um)	
770	358.444
769.111	364.222
773.111	370.667
783.778	371.778
790.444	365.778
788	354.667
777.556	353.111

vaso
X (um)	Y (um)	
660.111	351.333
656.333	360.889
655.889	369.333
661.444	373.778
669.667	375.111
677.222	372.222
683	366.444
680.556	357.333
675.667	351.556
666.111	350.222
	
vaso
X (um)	Y (um)
702.111	251.556
693.667	254.889
689	264.444
691.667	275.111
701.444	278.444
709.444	275.111
713.889	266.444
711.889	257.556
707.444	253.556

vaso
X (um)	Y (um)	
680.556	133.444
675.444	130.556
657.889	131.444
651	140.333
645.222	149.889
648.778	158.333
664.111	155.889
674.778	147.667
682.556	141.889

vaso
X (um)	Y (um)	
750.667	308.222
744.889	311.111
741.111	324.222
746.667	329.778
759.778	327.333
763.556	318.667
758.667	311.111

foto 6
pin 3
X (um)	Y (um)	
476.67	132.33

pin 4
X (um)	Y (um)	
828.67	157.67

celulas
X (um)	Y (um)	TIPO	PB
439.333	250.667	5	1
444	222	5	1
422.333	282.333	5	1
420	177	5	1
515.333	174	5	1
500	210.333	5	1
550.333	187.667	5	1
417.667	207.333	5	1
616.667	251.333	5	1
705.333	258.667	5	1
566	245.667	5	1
697.333	182	5	1
757.333	199.333	5	1
653.667	225.667	4	1
638.667	199.667	4	1
645.333	191.333	4	1
750	245	4	1
817.667	218.667	4	1
839	234.333	4	1
756	268	4	1
528	254	4	1
528.667	219.667	4	1
654.333	286	4	1
671.667	315.333	4	1
614	307.667	4	1
498.333	236	4	1
533	278.667	4	1
577.333	333	4	1
721.333	303.333	4	1
734	270	4	1
497.333	276	4	1
486.333	282.333	4	1
444	291	4	1
443.667	345.667	4	1
409.667	246.667	4	1
482.667	173.333	4	1
496	174.667	4	1
526.333	190	4	1
610.667	173.333	4	1
617	188.333	4	1
729.333	184.667	4	1
716.333	249.333	4	1
773.667	236	4	1
457.333	207	5	0.3
446.667	171.333	5	0.3
428.333	333	5	0.5
486.333	327.333	5	0.5
524	357.667	5	0.5
466	344.667	5	0.5
541	365.333	5	0.3
498.333	440	5	0.3
473	427.667	5	0.7
578.667	417.667	5	0.5
562	425.667	5	0.3
610.667	385	5	0.5
612.333	364.333	5	0.7
574.333	282.667	5	0.5
711.667	326	5	0.5
689.333	343.667	5	0.3
674	329	5	0.3
609.333	264.667	5	0.3
705.667	217.333	5	0.3
627.333	351.333	5	0.3
554	378	5	0.3
783.667	199	5	0.5
808.667	173	4	0.7
675.667	233	4	0.7
623	210	4	0.3
550.667	322.333	4	0.3
462	388.667	4	0.5
516.333	392.333	4	0.5
512.667	411	4	0.5
612.667	285	4	0.3
783.333	266.667	3	1
802.333	240.333	3	1
847	175	3	1
743.333	181	3	1
655.333	258	3	1
458.333	374.667	3	1
652.333	237	3	1
775.333	181	3	1
830	203.333	3	1
798.333	195	3	1
797.667	204.333	3	1
835.333	252	3	1
822.667	184	3	1
595	358	4	1
577.333	364.667	4	1
744	319.667	4	1
730.333	317.667	4	1
772	277.667	4	1
814.333	265.333	4	1
779.667	295.333	4	1
759.667	313	4	1

