experiment

dia 0

espesor 100 //um



foto 3

foto 2

ancho lesion  0 // um

pin 1
X (um)	Y (um)
146.333	562.333

pin 8
X (um)	Y (um)
169.667	474.333

pin 10
X (um)	Y (um)
157.333	107.333

celulas
X (um)	Y (um)	TIPO	PB
98	35.333

pin 2
X (um)	Y (um)
263	546

pin 5
X (um)	Y (um)
30.667	617.667

pin 6
X (um)	Y (um)
42.222	25.333

celulas
X (um)	Y (um)	TIPO	PB
731.556	92.444	1	1
739.111	121.333	1	1
780	100	1	1
805.778	109.333	1	1
655.556	91.111	1	1
696	160	1	1
632	176	1	1
569.778	205.333	1	1
552.444	210.667	1	1
719.556	235.556	1	1
558.222	287.778	1	1
523.111	282.444	1	1
599.556	279.333	1	1
680	256.222	1	1
796.444	238.889	1	1
814.667	239.778	1	1
488.889	358	1	1
581.778	382	1	1
628.889	428.333	1	1
684.444	477.222	1	1
772	462.111	1	1
763.556	466.111	1	1
791.556	364.333	1	1
724.889	362.556	1	1
583.556	317.222	1	1
468.889	491.778	1	1
792.444	597.556	1	1
843.111	427.222	1	1
736	258.556	1	1
766.222	240.778	1	1
744.889	208.778	1	1
710.222	108.667	1	1
522.222	135.333	1	1
502.222	178	1	1
556.889	227.778	1	1
529.667	348.667	1	1
613.667	297.111	1	1
432.778	261.556	1	1
386.111	278.444	1	1
292.778	368.222	1	1
345.222	400.667	1	1
360.778	393.111	1	1
410.111	444.778	1	1
323.444	586.889	1	1
289.222	591.333	1	1
302.111	554	1	1
316.778	535.778	1	1
325.667	625.111	1	1
399.444	410.444	1	1
320	153.333	1	1
363.111	125.333	1	1
197.333	183.556	1	1
186.667	185.333	1	1
177.778	207.111	1	1
208.444	247.556	1	1
177.778	231.556	1	1
157.778	104.444	1	1
124	96.889	1	1
84	268	1	1
64.889	312.889	1	1
260	330.333	1	1
210.222	417	1	1
242.222	380.111	1	1
218.222	447.778	1	1
212.444	472.667	1	1
129.333	452.667	1	1
161.333	346.889	1	1
264	300.222	1	1
90.667	440.667	1	1
63.556	409.556	1	1
12	434.444	1	1
35.111	410	1	1
71.111	556.667	1	1
62.667	571.778	1	1
59.556	244.444	1	1
26.222	177.778	1	1
112	162.667	1	1
30.222	109.333	1	1
12.889	120.444	1	1
181.333	138.667	1	1
176	140.444	1	1
130.222	134.667	1	1
383.111	147.111	1	1
240.444	258.556	1	1
222.667	227.889	1	1
328.889	254.111	1	1
225.333	353	3	0.3
218.222	365	3	0.3
86.667	324.556	3	0.3
309.778	306.778	3	0.5
10.222	382.667	3	0.3
41.778	359.111	3	0.3
14.222	324.444	3	0.5
59.111	353.778	3	0.5
68	450.222	3	0.5
184	397	3	0.5
100.889	361.444	3	0.7
152	326.333	3	0.3
113.333	282.778	3	0.7
163.111	500.444	3	0.5
162.222	568.667	3	0.5
188	543.778	3	0.7
87.556	519.778	3	0.7
46.222	597.111	3	0.7
259.111	601.556	3	0.3
265.778	622.889	3	0.5
196.444	428.667	3	0.5
397.111	183.778	3	0.7
628.222	234.889	3	0.3
294.889	618.444	3	0.5
598	632.667	3	0.3
790.222	627.333	3	0.5
843.111	574.889	3	0.7
708.889	292.667	3	0.7
837.778	224.444	3	0.3
701.778	218.222	3	0.5
743.556	615.333	3	1
818.667	596.667	3	1
143.556	625.111	3	1
134.667	570.889	3	1
154.667	540.667	3	1
168.889	522	3	1
210.667	510.889	3	1
71.556	630.444	3	1
87.556	612.667	3	1
54.222	531.333	3	1
246.667	297.222	1	1
236.889	272.333	1	1
31.111	282.667	1	1
129.333	316.889	1	1
254.222	426.667	1	1
261.333	232.889	1	1
147.111	229.778	1	1
136	254.667	1	1
193.778	380.556	1	1
155.556	468.333	1	1
118.667	452.778	1	1
110.222	545.222	1	1
93.778	555	1	1
344	561.222	1	1
394.222	552.778	1	1
645.111	587.778	1	1
690.889	584.667	1	1
405.556	397.222	1	1
481.111	253.667	1	1
381.111	221.333	1	1
402.444	221.333	1	1
648.222	186.667	1	1

limite tejido
X (um)	Y (um)

limite lesion
